fist_phrase	reply
Спасибо за рецепт!	Как раз думала, что бы интересненького приготовить из тыквы
Как раз думала, что бы интересненького приготовить из тыквы	Попробуй, кашка вкусная и полезная!
Как же мы любим кашку с тыквой!!!	сейчас попробую сварить по вашему рецепту!)
сейчас попробую сварить по вашему рецепту!)	Леночка, вкусная кашка получилась?
	"у нас, в Грузии, есть блюдо называется ""ГОМИ"", если грубо описать, то это кукурузная каша с сыром.....так вот этот геркулес напиминает это вкусное блюдо"
Можно поподробнее рецепт?Интересно,очень	Гоми, мамалыга
Спасибо, Ингушенька,что откликнулась. И огромное спасибо за рецепт friends Rose sharik	Полностью присоединяюсь, прямо под каждым Лениным словом подписываюсь!
Так же можно очень горячее гоми выложить на тарелки и повтыкать в него кусочки сулугуни (мацареллы) - будет очень вкусное блюдо. Такое гоми мо Ну, вот, именно это я и ела на Рице, это просто отпад, вот бы, и правда самой научиться готовить!...	alena-solena
Ingusha	Спасибо, Ингушенька,что откликнулась. И огромное спасибо за рецепт
Вы так вкусно готовите что я не удержался смайлик облизывающий поставить	Никита, спасибо за добрые слова.
Действительно очень просто и вкусно!!! И полезно, ведь даже не варила!!!	Танечка, спасибо тебе, что воспользовалась рецептом.Кашка очень аппетитно смотрится
Очень понравилась кашка!	Спасибо всем за отличные рецепты несладких каш
Спасибо всем за отличные рецепты несладких каш	И я присоединяюсь , оочень согласна!
А я купила пачку пшена, и думаю, что бы из неё ещё сделать кроме молочной каши, Валюша, спасибо, что подсказала	Женя, пожалуйста . Надеюсь, попробуешь приготовить. Только 1 чашка крупы - это довольно много каши, сразу и не съесть, мы ее потом как гарнир съедаем.
Спасибо огромное, скоро пост и вот там то и пригодится эта великолепная кашка !!!!!	Наташа, я тоже так подумала, потому что сытно получается и можно не горевать о мясе
Спасибо за идею!!!	Оксаночка, рада, если пригодится эта идея
мы ее потом как гарнир съедаем	Валюш, а я и собираюсь на гарнир варить
очень вкусно	Женечка, я рада.
"даже подумала, что это я случайно второй раз ""закинула"" отчет, но почему-то под твоим именем"	Валюш, тут у многих такие тарелочки, у меня весь комплектик есть
И КАК Я ЕГО РАНШЕ,НЕ ЗАМЕТИЛА	"Инна, заметила как раз к посту и к весне Я одно время в ""похудательную"" диету включала эту кашку, потом перешла на гречу"
Инна, заметила как раз к посту и к весне	потом перешла на гречу
потом перешла на гречу	И,ЗА эТУ ИДЕЙКУ СПАСИБО
Люси, загадывай желание, между двух Олечек	Уже загадала!
(набираю вес	Анна, к зиме готовишься
Какой симпатичный плов)) обязательно сделаю!!!	Мы тоже готовим сладкий плов но немножко по другому,варим рис,изюм в сливочном масле жарим мин 5,как только изюм вздувается снимаем с огня и добавляем в рис который уже готов,вода слита и ждет в кастрюльке ссыпаем сахар по вкусу перемешивая и ждем пока охладится.
Наташа здравствуйте...Вот и мой фотоотчет... Каша получилась очень вкусная..Добавила тыкву и варенье белой черешни с орешками без сиропа...Благодаря вашему совету ,тыква и яблоки сохранили в каше форму..Так что получилась вкусная ,красивая,цветная и ароматная каша... Огромное спасибо...	Джулия,хозяюшка,на здоровье
А так я еще усиленно танцами занимаюсь.	Лисенок, танцами в каком направлении?
Лисенок, танцами в каком направлении?	Удалось скинуть кг??
Наташа,здравствуй!	От всей души благодарю за рецепт сладкого риса!
Этот плов люблю с детства.	Натуль, для похудания подойдет нам??
Натуль, для похудания подойдет нам??	Натуль,думаю что да...все таки это не мясной плов
я,к приемру,могу на обед или ужин слопать тарелку этого риса и больше ничего не захотеть	замечательно
замечательно	с яблочками и изюмом очень вкусно,мне больше нравится,чем с черносливом
с яблочками и изюмом очень вкусно,мне больше нравится,чем с черносливом	быстро готовится?
быстро готовится?	быстро!
Замечательная каша, Юля! Я хоть и не большой любитель овсянки, но в таком виде с удовольствием бы попробовала.	Спасибо,Антонина!!
А я - фанат каш!	Каши я тоже люблю, но, в основном, рисовую и пшенную.
Каши я тоже люблю, но, в основном, рисовую и пшенную.	"Рисовая - моя любимая,и ещё ""дружба"".Гречневую предпочитаю с мясным гуляшом"
вот и я бы попробовала в таком исполнении	никак не полюблю овсянку
Юля, какой замечательный рецепт У меня сыночек, просто, обожает овсянку, я ему часто готовлю Но, в основном, с бананом Нужно разнообразить меню и приготовить с карамельными яблочками Куплю яблоки и приготовлю	Карина,спасибо!!
Аппетитненько! Утащила в закладки - буду готовить!	Малгося !!Спасибо!
У меня почему-то после добавления меда каша стала жидкая, и получилось все очень сладко и приторно...	В следующий раз сделаю обычную овсянку, чуть поменьше сахара, чем обычно и с такими яблочками, думаю будет лучше.
В следующий раз сделаю обычную овсянку, чуть поменьше сахара, чем обычно и с такими яблочками, думаю будет лучше.	Вкусной Вам каши
Юлечка, отличная кашка, всё в ней в самый раз, (даже нелюбимая мной корица), очень вкусно, нам понравилось, спасибо!	Жанна,спасибо тебе Чуть-чуть корицы иногда не помешает
Юлечка, с удовольствием повторяем кашку!	Жанна Как аппетитно у тебя!!
Светочка,яркая гранола получилась,те	спасибо! и запах ммммм
,теперь и я с нетерпением жду твоей дегустации	кушала утром залив молоком- покупные мюсли даже в долю не падают очень вкусно, ароматно и главное -знаю что там все натуральное я в восторге!!!
А сколько у тебя гранолы получилось?	пошла взвесила- примерно грамм 350-ну 370 потому что утром уже ела...
я в восторге!!!	Я так рада!))) Очень приятно!!!
но я честно говоря вкуса покупной гранолы уже не помню	я ее сама уже давно не покупала но как по мне то своя вкуснее намного
Летом уходит только так- с йогуртом и ягодами на завтрак,зимой конечно хуже. Но дома я ее одна ем,мне хватает на долго.	вот я тоже ее сама буду есть мои пацаны не по таких продуктах
вот я тоже ее сама буду есть мои пацаны не по таких продуктах	Да..у меня муж тоже не любитель,но советы давать любит- шоколад не ложить-он не ест,сухую чернику тоже..в итоге он ее вообще не ест
но советы давать любит- шоколад не ложить-он не ест,сухую чернику тоже..в итоге он ее вообще не ест	ага, мой такой же советчик
Зато нам с тобой на дольше хватит	Ляночка08
ага, мой такой же советчик	близнецы))
близнецы	Ляночка08
Судя по фото гранола получилась хрустящей?	Да, додержала до хруста! )) Делала из смеси 3х злаков, не для быстрого приготовления. С йогуртом очень вкусно!
Мммммм...какая кашка вкусненькая.Пошла покупать горшочки Спасибо за рецепт ,за мной отчётик	буду ждать вкусной кашки
Катюшка,несу свою спасибу за кашку.Делаю уже второй раз сегодня.Ну просто пальчики оближишь.Спасибо тебе большое	Галина, и вам спасибо! очень рада что нравится кашка!!
Вот теперь я с отчетом	[URL=http://www.radikal.ru][/URL]
Каши в горшочках, это что-то! обязательно попробую сделать своим ребятам!	надеюсь что понравится
Катюша! Какая вкусная каша Без сомнения боярская-царская. Надо срочно покупать пшено! Тем более у меня дочка всё время говорит, когда после садика приходит - мама нам сегодня давали вкусную кашу - жёлтую... Спасибо вернусь с отчётиком!	буду ждать!!
Катя!	Спешу сказать спасибо за вкусную , ароматную кашу! Понравилась всей семье! Получается действительно, как с топлёным молоком. Объедение!
Джанго, я принесла фотоотчет! Готовила с изюмом и черносливом. Ну очень вкусно!!! Спасибо за рецептик!!!	[URL=http://www.radikal.ru][/URL]
Очень люблю геркулес. Можно вместо пшена воспользоваться им? сколько будет вариться тогда?)	честно говоря не могу подсказать в моих рецептах есть овсяная каша с яблоками, так она варится буквально минут 12-15. А тут запекание в духовке...
Катюша ,спасибо большое за такую вкуснючую кашку!	Правда молоко у меня все-таки убежало и пришлось мыть духовку
Катя, каша - пальчики оближешь!!!	Утром готовила, а уже снова хочу
моя пшённая кашка, очень- очень вкуснятина!	ух какая кашка!!! у меня аж слюнки потекли очень аппетитное фото!!! спасибо!!
Вот моя кашка, нет слов, очень вкусная и ароматная	очень рада что понравилась кашка!!!
я делала с кусочками кураги и одной ложкой сахара, сыночку разбавила холодным молочком и взбила блендером, так что попробовали все.	Спасибо за вкусный и простой рецепт
Катя! Большое спасибо за рецепт! Очень вкусная получилась каша, правда дочка съела почти весь горшок , мне досталось только попробовать.	очень рада что доченьке понравилась кашка!!!!
А чтобы не убежало молоко нужно намазать края посуды сливочным маслом. Мне помогает и на плите, и в духовке!	спасибо за отличный совет
Он радует глаз яркими красками и отличается замечательным ароматом и вкусом.	Очень радует,не сомневаюсь, что на вкус это бесподобно
где же взять эту неведанную гарам масалу	Леночка, посмотри здесь http://forum.say7.info/topic48290.html
Делала недавно такой пловчик по этому рецепту	Амритана, я посмотрела рецепт - действительно совпадает с моим. Хочу сказать, что рецепты индийской кухни я беру из имеющейся у меня литературы (т.е. книг). А об этом рецепте на форуме я не знала
Сегодня нашла Ваш рецепт и решила повторить. В этот раз делала с миндалем - это ОЧЕНЬ вкусно. Жаль, изюма было мало... Буду делать еще не раз.	Рецепт, и правда, очень удачный. Мне он, тоже, очень нравится!
Спасибо большое за классный рецепт.	Амритана, спасибо Вам за отзыв и за очень аппетитную фотографию!
У нас холодно и дожди, грибов пока нету	А у нас как-раз белые и подосиновики пошли в рост. Папа из лесу три ведра притащил. Алёнушка, красота ещё та!
Какая вкуснятина	Спасибо за похвалу!
А в твоем рецепте это блюдо уже перешло в более высокое сословие Белые грибочки, брынза...	"Спасибо, Людочка! Но моей заслуги тут, наверное, мало. Именно в такой ""интерпретации"" мы пробовали мамалыгу во время отпуска в Карпатах. Там белые грибы, как у нас картофель, в каждом доме заготовлены в прок. В лесах их хоть косой коси. А изготовление овечьей брынзы - искуство, которое передаётся из поколения в поколение."
Но в сказках, я так поняла, что это еда бедных людей.	Людмила, в принципе, это наверное так и было, в отличие от бануша, который варят на сметане, в нашем регионе мамалыгу скорее как хлеб подают, а не как гарнир, и в некоторых селах до сих пор режут ниткой его, но тем не менее, как ни подай, вкусно.
спасибо за рецепт, я тоже очень люблю карпатскую кухню, да и вообще нашу западно-украинскую.	но тем не менее, как ни подай, вкусно
но тем не менее, как ни подай, вкусно	Юличка, полностью с тобой согласна! Спасибо тебе за поддержку рецепта!
Тыкву ооочень люблю!	И я тоже!!! Во многом благодаря этому форуму. Ведь здесь есть столько вкусных рецептов с ней!
Благо тыква еще своя осталась, две штуки на всю зиму хватило.	Везет вам! А у нас уже кончилась, на сайте столько рецептов с тыквой много, что я всю переработала
Я готовила во время поста на воде, получилось очень вкусно!!!	Я очень-очень рада!!!!!!!!!
я добавляла бруснику в пшенную кашу с тыквой тоже очень вкусно!	Моя тетушка так же делает, она предпочитает пшенку с тыквой, а я посоветовала добавлять бруснику, ведь она такая полезная, отёки снимает!!!
я посоветовала добавлять бруснику, ведь она такая полезная, отёки снимает!!!	Да, я тоже начиталась про бруснику и с этой целью ее употребляю
Да, я тоже начиталась про бруснику и с этой целью ее употребляю	Жень, вот попробуй http://forum.say7.info/topic5436.html Там очень вкусный брусничный соус. Я готовила, мне очень понравилось
Очень вкусная кашка	Алена, я очень рада, что кашка вам с мужем понравилась!!!
Вместо брусники добавили смородину	Надо мне тоже так попробовать, спасибо за идею!
Если что-то наподобе проглядела, то свой пост удалю	есть тут похожий рецепт- с йогуртом (но и свой не удаляй- они ж отличаются) -вот глянь http://forum.say7.info/topic78756.html
есть тут похожий рецепт- с йогуртом (но и свой не удаляй- они ж отличаются) -вот глянь http://forum.say7.info/topic78756.html	Спасибо Света, я этот пост у себя в начале темы укажу
Спасибо Света, я этот пост у себя в начале темы укажу	Ляночка08
Люда, очень заинтересовал вариант именно с молоком	Наташа я очень рада,что такой простой рецептик привлёк твоё внимание
подскажи, а ты какую овсянку берешь - обычную, длительной варки или быстрого приготовления?	овсянку беру быстрого приготовления
и еще, ты смесь с молоком в холодильнике на ночь оставляешь или без?	пока было не очень жарко в квартире оставляла просто на кухонном столе, а сейчас думаю лучше поставить в холодильник (+31).
Спасибо!	На здоровье, надеюсь понравится
Хороший вариант для завтрака в жаркий летний день	абсолютно согласна
варить не надо и можно есть комнатной температуры или из холодильника )	что очень удобно, молоко не убежит
у меня с бананом, вишней и грецким орехом	завтрак загляденье доча тоже себе делает с бананом, яблоком и грецким орехом
гречку заливаю кефиром на ночь, а овсянку молоком что-то не додумалась ) спасибо за подсказку )	учимся друг у друга и делимся
есть тут похожий рецепт- с йогуртом (но и свой не удаляй- они ж отличаются) -вот глянь http://forum.say7.info/topic78756.html	А вот еще - http://forum.say7.info/post220687.html#220687 Давно по этому рецепту готовлю, только там всё вместе заливается молоком на ночь. Теперь попробую Ваш вариант с семенами чиа. Спасибо за рецептик.
А вот еще - http://forum.say7.info/post220687.html#220687	просмотрела
Теперь попробую Ваш вариант с семенами чиа. Спасибо за рецептик.	пробуй Наташа, на здоровье
"Ну в общем это ""мой"" рецепт, в том смысле, что он мне подходит ) и глаз радует )"	"только вот семена добавить забываю постоянно ))) ну и 2-3 ложки овсянки мне мало для полноценного завтрака ) в этот раз 5 ложек смеси хлопьев ""5 злаков"", молоко, 1/2 банана, 5 орехов грецких, смородина чёрная и красная"
Люда, у меня тарелочка всё больше )))	Урюк-шелковник-орех грецкий-и семена льна не забыла )))
хлопья 5 злаков+урюк+яблоко+миндаль+семена льна	в +42 самый хороший завтрак ))
Я частый гость ) яблочки пошли )	Наташа, приходи с радостью в гости , очень рада твоему пориджу, тем более, он у тебя всегда разный и вкусный
Дааа, всегда разный и вкусный и большой	завтрак должен быть сытным!!
состав зависит от сезонных дачных ягод и фруктов	летняя пора самая вкусная
на этот раз хлопья 5 злаков 6 ложек мне достаточно ))) + урюк + ягода йошта гибрид крыжовника со смородиной ) + грецкий орех + семена льна + ну и плюс молокоооо ))	как вкусно
	Всем известно, что овсяная каша улучшает работу кишечника.
полезная каша!!!	полезная и вкусная, посмотри на тарелочки Наташи
А почему все же ее не варят??	Хлопья же быстрого приготовления и за ночь они хорошо настаиваются, молоко вбирают в себя и разбухают, так что ни какой варки, особенно по жаре не очень-то и хочется. У нас плюс 32!
семена чии	Сколько экзотики в твоих рецептах. Я о таких и не слышала. А вариант кашки очень завлекательный. Спасибо!
Помнишь мою сказку про поезд?	Keily
а если клюква мороженая, ее нужно предварительно размораживать?	Я не размораживала, отлично всё получилось. Спасибо за отличный рецептик.
Теперь залить закипевшее молоко , -вода впитывается ?.......говорю большое спасибо люда....	elenusca
люблю пшено но толи у нас такая крупа	Елена, у вас в Молдавии должна быть вкусная крупа!!!!!!!!!!!!!!!
вода впитывается ?	Да!
говорю большое спасибо	Еленочка, готовь на здоровье!!! Пусть все получится!!!
Очень люблю пшенную, варю в соотношении 1:5	Светочка, в моём варианте тоже примерно 1:5 зёрнышки: жидкость ... в процессе замачивания пшено напитывается водой и в дальнейшем 2 стакана кипятка и 2стакана молока.
Попробую и твой вариант, мне очень понравился!	Обязательно пробуй и делись мнением !!!
Попробую приготовить твой сладкий вариант с бананами	Лика, готовь и приходиподелиться впечатлениями !!!
спасибо за рецептик!	Малогося, готовьте на здоровье!!!
Пожалуй, даже не буду откладывать, пошла замачивать пшено!	Галина, как успехи???
спасибо с ребенком обьедались	Кристина, рада, что рецепт пригодился и понравилась каша !!!
Галина, как успехи???	Ой, Люда, извини что сразу не отчиталась.
Мне очень понравился этот рецепт - все понятно: чего, сколько, когда и как!!!	Кашка получилась просто супер!!!!! Спасибо большое за классный рецепт.
Беру в закладочки!!!	Галина! Готовьте на здоровье!!!
извини что сразу не отчиталась.	Галина, я тоже давно не заглядывала на эту страничку
Спасибо большое за классный рецепт.	Варите на здоровье !!!
Что бы Вы не думали, что я толстая и безобразная, выставляю Вам одни сладости показываю себя, любимую:	Владочка, ты прям как я!!! Готовим, готовим - а сами как тростинки!!!
Что бы Вы не думали, что я толстая и безобразная, выставляю Вам одни сладости показываю себя, любимую:	Владочка, солнышко, ты не поверишь: я начала просматривать рецепт и только подумала, что хотела бы увидеть твою фотку , а тут БАЦ!!! Аж три! Аж страшно стало - так быстро мысль материализовалась! Ты и правда тростиночка... хотя и я в твои годы такой же была
На любимой кухоньке!	Хозяюшка!
Отличная импровизация для завтрака!	Владочка, ты прям как я!!! Готовим, готовим - а сами как тростинки!!!
Что бы Вы не думали, что я толстая и безобразная, выставляю Вам одни сладости показываю себя, любимую:	Владочка, солнышко, ты не поверишь: я начала просматривать рецепт и только подумала, что хотела бы увидеть твою фотку , а тут БАЦ!!! Аж три! Аж страшно стало - так быстро мысль материализовалась! Ты и правда тростиночка... хотя и я в твои годы такой же была
	На любимой кухоньке!
очень вкусно ! я тоже готовлю рисовый пудинг. когда-то у Юлии Высоцкой подсмотрела : по ее рецепту я рисовые зерна дополнительно перемалываю в кофемолке - не мелко в муку , а так , чтоб зернышко рисовой было раздроблено на 5-6 частей. примерно так. и тогда эти крупинки так красиво набухают и десерт получается воздушно-нежным.	Еще был эксперимент с корицей - тоже неплохно получается, но именно ванильно-сливочное сочетание самое удачное
На любимой кухоньке!	красотка
ЗаПеКаНоЧкА	Последнее фото - как обложка кулинарного журнала!
красотка	а кухня у меня такого же цвета - оранжевая
Что бы Вы не думали, что я толстая и безобразная, выставляю Вам одни сладости, показываю себя-любимую:	Владочка, дочка, какая же ты тростиночка Так и хочется маме Ире тебя покормить Шучу конечно В твоем возрасте я тоже была такая же, вот тольке не умела так замечательно готовить ты умничка, так маме и передай
Буду ждать отчётик Вашей кашки!	обязательно
обязательно	Ждём-с...)
Ждём-с...)	Ляночка08
Владочка, дочка, какая же ты тростиночка Так и хочется маме Ире тебя покормить Шучу конечно В твоем возрасте я тоже была такая же, вот тольке не умела так замечательно готовить ты умничка, так маме и передай	Ирина, спасибо большое!
Владочка, солнышко, ты не поверишь: я начала просматривать рецепт и только подумала, что хотела бы увидеть твою фотку , а тут БАЦ!!! Аж три!	Ой, и я тоже, просматриваю все рецепты (очень заинтересовал возраст), думаю, как же выглядит это маленькое чудо, а тут на тебе и ответ (фото).
Ой, и я тоже, просматриваю все рецепты (очень заинтересовал возраст), думаю, как же выглядит это маленькое чудо, а тут на тебе и ответ (фото).	Ты наверное мечтаешь быть кондитером или знаменитым шеф-поваром?
а не твёрдая овсянка без варки?	А кто не любит не вареную можно залить молоком холодным и поставить на 1 минуту в микроволновку ,и все каша готова вкуснотища ,а какая полезная для нашего организма
очень люблю перловую крупу , в горшочках очень вкусно	Леночка, спасибо за первый отзыв! готовьте и кушайте на здоровье, буду рада если рецептик понравится
Большое спасибо за такую полезную и интересную информацию о перловке и за замечательный рецепт!	Элина, пожалуйста это вкусно, мои хоть и не любят перловку сегодня с удовольствием покушали, видимо давно не готовила. соскучились
Унесла в закладки,приготовлю обязательно	Вероника, пробуй,буду рада любому отзыву, надеюсь рецептик понравится
перловку обожааааю,	Светик, так рада видеть тебя в темке! попробуй, одно мое полезное блюдо Каролька уже оценила, конфетки, буду счастлива если оценит и перловочку, для дочи крупу замачивай, она все равно нежнее после такой обработки
Блюда в горшочках очень удобные в приготовлении.	сама люблю горшочки, действительно и удобно и полезно, гуляш, например, обалденный именно приготовленный в горшочке, да и не только гуляш
Только купила перловую крупу	вовремя Натусь
правда, без мяска пока будет , но, думаю и с овощами это будет вкуся	конечно, овощи дадут дополнительный сок, от него перловочка станет еще мягче, это однозначно
Приготовлю, расскажу!	буду ждать
Кстати у меня точно такие горшочки , только стоЯт они высоко в кладовой ,посему будет перловочка томиться в стеклянной кастрюльке!	не принимается не отвертишься, придется тебе лезть за горшочками, стекло все равно не даст того томления как горшок, это тебе даже Винни подтвердит, лучше горшка посуды нет
это тебе даже Винни подтвердит, лучше горшка посуды нет	Ленусь, ну пожалей меня!!! Горшочки высоко и далеко!!!
на днях приготовлю	Людочка буду безмерно рада, если блюдо по этому рецепту придется по вкусу
ну пожалей меня!!!	и никого нет с длинными руками и ни стремянки ни табуреток? тогда закономерный вопрос КТО их так высоко и далеко засунул вот кто это сделал тот и достает
Теперь буду варить кашу в горшочке. Спасибо, что рассказала как это полезно.	Танюш, можно точно так же сварить перловую кашу и на молоке, главное залить содержимое горячей жидкостью и поставить в нагретую духовку и наоборот, если заливаем холодным ставим в холодную духовку и включаем ее,в этом случае готовиться будет чуточку дольше, ну и самое главное не высокая температура, блюдо должно скорее томится, чем кипеть, при кипении жидкость быстро испаряется, и обязательно прикрывать. Я очень люблю горшочки и часто их использую, это экономит кучу времени, позволяя заниматься иными делами.
что молоко из горшочка убежит	никуда оно не убежит тут главное чтобы температура была небольшой, в пшеннике у Аленушки молоко никуда не убегает, готовила много раз, эту же технологию можно и на перловку применить
Обязательно буду так варить	Танюш, пробуй, ведь наши бабушки готовили каши в духовках, вкуснее их я не ела!
Очень аппетитно!	Леночка, спасибо за отзыв, пробуй
обязательно испытаю и в горшочках и попробую приготовить в мультиварке!	Танечка у меня пока нет мультиварки смотрю на нее давно, но купить не решаюсь, а вот горшочки использую на полную катушку, попробуй и так и так расскажи обязательно где удобнее и вкуснее
Очень вкусная каша!!!!	ураааа!!!! первый отчетик!!!!аппетитнейшая тарелочка вкуснющей кашки с мясом
всегда перловку использовала только в рассольниках, теперь и кашу буду такую готовить!	Лариса я очень рада, что кашка понравилась! И теперь будет появляться в меню
Делала в аэрогриле!	Спасибо!!! не ожидала такого результата!
Как приготовлю в мультиварке, так обязательно отчётик скину!	Танечка буду ждать отчетик с нетерпением,теоретически думаю в мульте должна кашка хорошо развариться, просто очень интересно именно есть ли отличие от духовой, расскажи обязательно
Это самый вкусный способ начать день, а осенний день, когда хочется подольше поваляться под теплым одеялом, и подавно.	Ох мечта идиота для меня в данный момент
даже моему капризному чаду	О, с детьми никогда нельзя быть уверенным наверняка
Ох мечта идиота	У меня даже кленовый сироп в заначке имеется.
У меня даже кленовый сироп в заначке имеется.	Запасливая, наш человек
теперь по утрам думаю, чем кормить чадо	да, задачка
набодяжу!	Э, ты там поосторожней, дети все-таки
У меня пацан очень любит овсянку	А мой только сырую овсянку, заливает молоком и все. Кашу даже не предлагать Причем, если нет овсянки или молока - все, кушать нечего
Сейчас добавлю ложку дегтя в бочку меда. На днях, в одной из телепередач, врач-диетолог говорила, что нельзя ни в коем разе смешивать ягоды с кашами. Это очень вредно для желудка и вообще для процесса пищеварения. Я знала, что дыни и арбузы нужно есть отдельно от всего, а вот про ягоды узнала впервые.	Ларочка, как раз кашу в таком исполнении очень люблю. И именно в эту кашу ничего не добавляю, мне специй хватает.
А вот в овсянку, приготовленную обычным способом, всегда добавляю ягоды или фрукты Что ягоды нужно есть отдельно, не знала.	Я тоже не знала это и так же добавляла ягоды в каши. Но сами по себе ягоды, съеденные отдельно, очень быстро перевариваются, а в сочетании с зерновыми они залеживаются в желудке и там начинается брожение со всеми вытекающими последствиями...
	Если интересно почитать, я в личку тебе кину ссылку на эту статью.
	но строго придерживаться правил раздельного питания я точно не буду.
Э, ты там поосторожней, дети все-таки	Я осторожно, но набодяжила.
не ожидала что сын с таким удовольствием будет лопать	А вот мои ожидания на этот счет не оправдались-малая вообще есть не захотела, выбрала только бананы. Но она любые каши не любит. Так что пришлось мне доедать (в кои то веки и маме что-то перепало ). Я никогда не готовлю ничего лично для себя, а вот эту кашку приготовлю при случае с большим удовольствием!
Кашка у тебя на вид такая красивая, текстура такая правильная, а с черносливом вообще объедение	Я очень довольна, что Максу каша понравилась,
Я очень довольна, что Максу каша понравилась,	Может еще сыграло роль, что она однородная и жУвать не надо
Может еще сыграло роль, что она однородная и жУвать не надо	Нет жует он с удовольствием. Просто я ему с изюмом и мёдом сделала, сладкое же все дети любят.
А вот мои ожидания на этот счет не оправдались-малая вообще есть не захотела, выбрала только бананы.	"Фото ""рабочее"" перед носом у детей. Так что не серчай."
